case_id,item_id,kind,response,expected,actual,agrees,known_limitation,detail
gv_anti_lowercase_constant,ca_anti_p1,equivalent,x**3 + c,correct,correct,True,,
gv_anti_omits_constant,ca_anti_p1,wrong,x**3,incorrect,incorrect,True,,
gv_anti_divides_instead,ca_anti_p1,wrong,x**3/3 + C,incorrect,incorrect,True,,
gv_anti_posttest_constant_first,ca_anti_post1,equivalent,C + x**5,correct,correct,True,,
gv_usub_canonical,ca_usub_p1,canonical,(2*x + 1)**4/8,correct,correct,True,,
gv_usub_decimal_coefficient,ca_usub_p1,equivalent,0.125*(2*x + 1)**4,correct,correct,True,,
gv_usub_expanded_with_constant,ca_usub_p1,equivalent,2*x**4 + 4*x**3 + 3*x**2 + x + 1/8,correct,correct,True,,
gv_usub_expanded_constant_dropped,ca_usub_p1,equivalent,2*x**4 + 4*x**3 + 3*x**2 + x,correct,correct,True,,
gv_usub_forgets_du,ca_usub_p1,wrong,(2*x + 1)**4/4,incorrect,incorrect,True,,
gv_usub_sign_error,ca_usub_p1,wrong,-(2*x + 1)**4/8,incorrect,incorrect,True,,
gv_usub_posttest_expanded,ca_usub_post1,equivalent,16*x**4 + 16*x**3 + 6*x**2 + x + 1/16,correct,correct,True,,
gv_usub_empty,ca_usub_p1,unreadable,,unparseable,unparseable,True,,empty response
